step,split,matmul,mae,rmse,max_abs
0,eval,model.layers.5.self_attn.k_proj,0.03225942701101303,0.04529497027397156,0.20617318153381348
0,eval,model.layers.5.self_attn.v_proj,0.023974742740392685,0.03219803795218468,0.12298905849456787
0,eval,model.layers.5.self_attn.o_proj,0.0046963379718363285,0.006707277614623308,0.0823204517364502
0,eval,model.layers.5.mlp.gate_proj,0.038887735456228256,0.05311701074242592,0.32016241550445557
0,eval,model.layers.5.mlp.up_proj,0.025301223620772362,0.033926986157894135,0.20010972023010254
0,eval,model.layers.5.mlp.down_proj,0.012523701414465904,0.017074817791581154,0.1367626190185547
0,eval,model.layers.6.self_attn.q_proj,0.02820022962987423,0.040999241173267365,0.3144059181213379
0,eval,model.layers.6.self_attn.k_proj,0.036962129175662994,0.05259783938527107,0.2658552825450897
0,eval,model.layers.6.self_attn.v_proj,0.02025083266198635,0.02797691524028778,0.13354897499084473
0,eval,model.layers.6.self_attn.o_proj,0.004565844777971506,0.00632479228079319,0.06743228435516357
0,eval,model.layers.6.mlp.gate_proj,0.03455647826194763,0.046840447932481766,0.27878737449645996
0,eval,model.layers.6.mlp.up_proj,0.02708423137664795,0.036641981452703476,0.2710762917995453
0,eval,model.layers.6.mlp.down_proj,0.014806460589170456,0.020420897752046585,0.12557744979858398
0,eval,model.layers.7.self_attn.q_proj,0.03080601990222931,0.04299556836485863,0.29324740171432495
0,eval,model.layers.7.self_attn.k_proj,0.03893196955323219,0.05325630307197571,0.279768705368042
0,eval,model.layers.7.self_attn.v_proj,0.025080014020204544,0.03411538898944855,0.12972843647003174
0,eval,model.layers.7.self_attn.o_proj,0.005496224854141474,0.007777872961014509,0.05725288391113281
0,eval,model.layers.7.mlp.gate_proj,0.03219588100910187,0.04430675506591797,0.381040096282959
0,eval,model.layers.7.mlp.up_proj,0.02902703545987606,0.03966258466243744,0.2706807255744934
0,eval,model.layers.7.mlp.down_proj,0.01512185763567686,0.020813975483179092,0.1786380112171173
0,eval,model.layers.8.self_attn.q_proj,0.03286328539252281,0.05775473266839981,1.5881996154785156
0,eval,model.layers.8.self_attn.k_proj,0.04100680351257324,0.06883727759122849,0.564605712890625
0,eval,model.layers.8.self_attn.v_proj,0.024246035143733025,0.032741788774728775,0.13496363162994385
0,eval,model.layers.8.self_attn.o_proj,0.006264117546379566,0.009240271523594856,0.0811706930398941
0,eval,model.layers.8.mlp.gate_proj,0.030720628798007965,0.042069364339113235,0.4696331024169922
0,eval,model.layers.8.mlp.up_proj,0.026105152443051338,0.035270318388938904,0.21544063091278076
0,eval,model.layers.8.mlp.down_proj,0.013531653210520744,0.018704645335674286,0.17831313610076904
0,eval,model.layers.9.self_attn.q_proj,0.0350755974650383,0.05165919288992882,0.3174448013305664
0,eval,model.layers.9.self_attn.k_proj,0.04712507873773575,0.07538838684558868,0.5396534204483032
0,eval,model.layers.9.self_attn.v_proj,0.030292443931102753,0.040856435894966125,0.21484172344207764
0,eval,model.layers.9.self_attn.o_proj,0.0048307254910469055,0.007428325712680817,0.11624997854232788
0,eval,model.layers.9.mlp.gate_proj,0.03049778938293457,0.04157966747879982,0.4011242389678955
0,eval,model.layers.9.mlp.up_proj,0.0280546136200428,0.038250017911195755,0.2202123999595642
0,eval,model.layers.9.mlp.down_proj,0.013569768518209457,0.018914269283413887,0.28707385063171387
0,eval,model.layers.10.self_attn.q_proj,0.03226608783006668,0.04661894217133522,0.3543804883956909
0,eval,model.layers.10.self_attn.k_proj,0.03914932906627655,0.057868506759405136,0.44453930854797363
0,eval,model.layers.10.self_attn.v_proj,0.03629603981971741,0.04864691570401192,0.2074604034423828
0,eval,model.layers.10.self_attn.o_proj,0.006186278536915779,0.00897705927491188,0.12828993797302246
0,eval,model.layers.10.mlp.gate_proj,0.030207643285393715,0.04158831760287285,0.31638574600219727
0,eval,model.layers.10.mlp.up_proj,0.026519780978560448,0.035881463438272476,0.2537938952445984
